,Date,PX_LAST,PX_VOLUME
1,4/28/2022,523.22,32319339682
2,4/27/2022,518.171,35346487340
3,4/26/2022,520.946,33943000116
4,4/25/2022,519.276,35677964298
5,4/22/2022,533.92,27510833544
6,4/21/2022,539.519,29256951920
7,4/20/2022,543.835,28220836739
8,4/19/2022,543.968,26411212812
9,4/18/2022,549.258,22513743117
10,4/15/2022,554.507,25921742231
11,4/14/2022,555.016,27782201210
12,4/13/2022,550.526,31987622472
13,4/12/2022,551.201,32506954012
14,4/11/2022,559.172,30794220742
15,4/8/2022,558.245,33639308543
16,4/7/2022,566.349,34131955669
17,4/6/2022,573.325,6138010254
18,4/5/2022,575.716,8637977222
19,4/4/2022,567.86,29212465151
20,4/1/2022,565.84,29935495330
21,3/31/2022,569.564,32810755930
22,3/30/2022,562.999,26108841738
23,3/29/2022,557.192,26527653877
24,3/28/2022,557.232,26749087859
25,3/25/2022,563.09,27703402187
26,3/24/2022,564.941,29032982125
27,3/23/2022,560.255,30359512644
28,3/22/2022,552.23,30914156358
29,3/21/2022,556.008,42775730943
30,3/18/2022,554.98,46867401308
31,3/17/2022,535.196,48228657004
32,3/16/2022,508.139,49166617407
33,3/15/2022,522.083,34422755741
34,3/14/2022,537.209,34240159421
35,3/11/2022,545.563,34565119267
36,3/10/2022,539.567,43136761925
37,3/9/2022,541.87,43960224022
38,3/8/2022,547.421,40695812989
39,3/7/2022,565.966,33543844144
40,3/4/2022,579.6,32137405512
41,3/3/2022,577.508,29989290338
42,3/2/2022,581.452,30042788663
43,3/1/2022,578.915,31357476141
44,2/28/2022,579.213,2.57164E+11
45,2/25/2022,570.747,4.71458E+11
46,2/24/2022,596.437,27913940422
47,2/23/2022,596.307,4.49847E+11
48,2/22/2022,608.709,1.6338E+11
49,2/21/2022,614.201,1.43015E+11
50,2/18/2022,614.825,1.45167E+11
51,2/17/2022,607.329,1.25178E+11
52,2/16/2022,603.022,1.75554E+11
53,2/15/2022,612.842,1.36883E+11
54,2/14/2022,618.057,1.37413E+11
55,2/11/2022,612.425,1.53295E+11
56,2/10/2022,602.541,1.30192E+11
57,2/9/2022,602.304,82584316844
58,2/8/2022,603.177,74604969456
59,2/7/2022,597.819,72772247826
60,2/4/2022,599.23,72327324040
61,2/3/2022,599.61,99321016695
62,2/2/2022,596.752,1.026E+11
63,2/1/2022,588.308,1.02794E+11
64,1/31/2022,588.729,1.77548E+11
65,1/28/2022,598.293,2.01104E+11
66,1/27/2022,597.798,1.70674E+11
67,1/26/2022,603.582,2.4609E+11
68,1/25/2022,614.514,1.12464E+11
69,1/24/2022,620.16,1.3897E+11
70,1/21/2022,612.292,1.82359E+11
71,1/20/2022,613.139,1.89968E+11
72,1/19/2022,620.977,2.28909E+11
73,1/18/2022,623.859,2.08539E+11
74,1/17/2022,625.77,81532095712
75,1/14/2022,613.76,82134850015
76,1/13/2022,608.44,66561863865
77,1/12/2022,605.396,37397286425
78,1/11/2022,600.937,72280167300
79,1/10/2022,603.702,84369302749
80,1/7/2022,609.729,62991058668
81,1/6/2022,609.014,35122597577
82,1/5/2022,608.266,20046934319
83,1/4/2022,603.693,56485538269
84,1/3/2022,601.294,51062515331
85,12/31/2021,605.284,75660686977
86,12/30/2021,602.631,68106660977
87,12/29/2021,601.538,66816538681
88,12/28/2021,596.739,86600167602
89,12/27/2021,593.646,84701239094
90,12/24/2021,586.904,99091121952
91,12/23/2021,599.666,1.02764E+11
92,12/22/2021,603.387,1.2112E+11
93,12/21/2021,598.588,93091359001
94,12/20/2021,602.329,1.87713E+11
95,12/17/2021,606.514,1.78535E+11
96,12/16/2021,610.392,1.09142E+11
97,12/15/2021,614.915,94336374815
98,12/14/2021,611.586,99156481993
99,12/13/2021,608.893,1.06455E+11
100,12/10/2021,598.232,82448017288
101,12/9/2021,603.464,75534771894
102,12/8/2021,609.156,99954666280
103,12/7/2021,604.171,1.0719E+11
104,12/6/2021,597.064,1.31664E+11
105,12/3/2021,600.286,1.19172E+11
106,12/2/2021,602.3,1.1892E+11
107,12/1/2021,617.049,80869000221
108,11/30/2021,618.142,1.41893E+11
109,11/29/2021,621.171,1.57921E+11
110,11/26/2021,624.9,1.6011E+11
111,11/25/2021,627.183,1.19615E+11
112,11/24/2021,633.582,64932681562
113,11/23/2021,635.347,83750914727
114,11/22/2021,633.505,1.16884E+11
115,11/19/2021,632.841,1.24379E+11
116,11/18/2021,630.825,1.08469E+11
117,11/17/2021,627.358,1.04244E+11
118,11/16/2021,626.633,90967966664
119,11/15/2021,624.588,78263106043
120,11/12/2021,622.201,64267342943
121,11/11/2021,624.339,29305666507
122,11/10/2021,621.345,80333946639
123,11/9/2021,622.071,92724669259
124,11/8/2021,622.346,92811141542
125,11/5/2021,622.429,1.27032E+11
126,11/4/2021,627.985,1.11488E+11
127,11/3/2021,631.338,87907475746
128,11/2/2021,637.812,88335294591
129,11/1/2021,638.349,94700034348
130,10/29/2021,636.308,96721042182
131,10/28/2021,636.233,1.07736E+11
132,10/27/2021,640.22,99206683456
133,10/26/2021,636.969,1.33473E+11
134,10/25/2021,631.287,61418112854
135,10/22/2021,631.581,68163971217
136,10/21/2021,623.21,93948565427
137,10/20/2021,620.037,84097926809
138,10/19/2021,616.758,87373649244
139,10/18/2021,622.668,1.52192E+11
140,10/15/2021,618.41,88429490314
141,10/14/2021,616.506,86676095019
142,10/13/2021,603.612,1.40438E+11
143,10/12/2021,608.229,1.06117E+11
144,10/11/2021,608.163,75842621719
145,10/8/2021,613.168,38662158620
146,10/7/2021,616.35,1.0389E+11
147,10/6/2021,615.455,73953804875
148,10/5/2021,619.968,1.15229E+11
149,10/4/2021,623.07,85218130967
150,10/1/2021,621.95,63302875651
151,9/30/2021,625.592,83718159279
152,9/29/2021,620.304,77403335881
153,9/28/2021,619.601,51200924695
154,9/27/2021,617.99,56650660613
155,9/24/2021,628.33,81234024285
156,9/23/2021,627.069,84543497527
157,9/22/2021,632.715,95753946993
158,9/21/2021,636.295,92369909647
159,9/20/2021,638.866,75856200811
160,9/17/2021,642.453,86241741968
161,9/16/2021,638.002,93925202638
162,9/15/2021,644.547,98006279741
163,9/14/2021,650.35,98757448220
164,9/13/2021,645.477,92021411733
165,9/10/2021,643.49,84313807369
166,9/9/2021,643.731,95729688819
167,9/8/2021,641.858,1.20932E+11
168,9/7/2021,630.382,93597625419
169,9/6/2021,624.132,69215451321
170,9/3/2021,620.915,67983524569
171,9/2/2021,625.371,63207446091
172,9/1/2021,622.725,74552371263
173,8/31/2021,606.783,58232713954
