,Date,PX_LAST,PX_VOLUME
1,4/28/2022,586.92,44509288
2,4/27/2022,569.08,47317925
3,4/26/2022,560.78,52811990
4,4/25/2022,560.53,64876821
5,4/22/2022,579.9,47826507
6,4/21/2022,594.35,53590092
7,4/20/2022,613.39,42782637
8,4/19/2022,610.86,40657333
9,4/18/2022,616.8,46352377
10,4/14/2022,607.63,41329011
11,4/13/2022,605.12,33066573
12,4/12/2022,597,39771928
13,4/11/2022,586.88,46696882
14,4/8/2022,605.71,44322468
15,4/7/2022,589.46,44727135
16,4/6/2022,581.57,42316982
17,4/5/2022,578.43,46560681
18,4/4/2022,587.29,40754460
19,4/1/2022,586.89,38861833
20,3/31/2022,581.93,59609185
21,3/30/2022,590.15,40536602
22,3/29/2022,583.32,47105119
23,3/28/2022,585.92,44903310
24,3/25/2022,601.34,47862071
25,3/24/2022,587.95,42508857
26,3/23/2022,587.2,47602160
27,3/22/2022,577.16,63123609
28,3/21/2022,581,67658716
29,3/18/2022,559.78,201995200
30,3/17/2022,559.27,70428898
31,3/16/2022,540.44,73944996
32,3/15/2022,542.77,72735752
33,3/14/2022,563.77,68315598
34,3/11/2022,580.55,59726813
35,3/10/2022,585.53,67307546
36,3/9/2022,568.11,91324554
37,3/8/2022,586.75,101944003
38,3/7/2022,578.73,82459746
39,3/4/2022,569.81,77928123
40,3/3/2022,554,56349753
41,3/2/2022,552.49,65402249
42,3/1/2022,540.47,78304134
43,2/28/2022,534.95,90419962
44,2/25/2022,521.54,52222938
45,2/24/2022,507.64,68739873
46,2/23/2022,512.09,46828471
47,2/22/2022,506.95,62313248
48,2/18/2022,514.82,47402835
49,2/17/2022,518.9,39573381
50,2/16/2022,519.34,46678631
51,2/15/2022,515.42,45026138
52,2/14/2022,522.66,52040468
53,2/11/2022,534.65,60816697
54,2/10/2022,520.12,42272566
55,2/9/2022,523.67,43537544
56,2/8/2022,521.01,42072203
57,2/7/2022,532.31,47803331
58,2/4/2022,525.45,50031453
59,2/3/2022,517.29,46016276
60,2/2/2022,522.72,47848699
61,2/1/2022,520.75,57186013
62,1/31/2022,502.93,63299019
63,1/28/2022,500.72,49997579
64,1/27/2022,503.75,57639863
65,1/26/2022,497.56,62060981
66,1/25/2022,498.42,63307734
67,1/24/2022,479.43,68602346
68,1/21/2022,476.81,61676423
69,1/20/2022,486.31,44519307
70,1/19/2022,490.72,45159167
71,1/18/2022,493.97,57803395
72,1/14/2022,491.98,47061376
73,1/13/2022,480.24,39300673
