,Date,PX_LAST,PX_VOLUME
1,4/28/2022,593.95,75067094
2,4/27/2022,586.34,79563521
3,4/26/2022,586.94,80717485
4,4/25/2022,602.29,87169467
5,4/22/2022,601.3,88424953
6,4/21/2022,619.9,84417511
7,4/20/2022,629.57,75827788
8,4/19/2022,625.28,86301897
9,4/18/2022,617.14,79074618
10,4/14/2022,613.38,101375658
11,4/13/2022,619.85,69527976
12,4/12/2022,620.35,68207670
13,4/11/2022,627.04,66766569
14,4/8/2022,630.05,71494816
15,4/7/2022,623.78,81247060
16,4/6/2022,624.39,100476711
17,4/5/2022,628.52,76883410
18,4/4/2022,633.25,73695241
19,4/1/2022,636.27,153891736
20,3/31/2022,637.61,115411052
21,3/30/2022,652.76,75618981
22,3/29/2022,657.4,62914756
23,3/28/2022,655.86,63701823
24,3/25/2022,657.82,60445482
25,3/24/2022,649.33,57736974
26,3/23/2022,644.46,72089105
27,3/22/2022,656.55,76850973
28,3/21/2022,646.21,79674257
29,3/18/2022,647.02,319948118
30,3/17/2022,645.14,85832186
31,3/16/2022,637.31,101188054
32,3/15/2022,619.46,84465330
33,3/14/2022,611.45,85126675
34,3/11/2022,603.92,72775623
35,3/10/2022,608.28,77830216
36,3/9/2022,613.18,102815972
37,3/8/2022,591.79,122526129
38,3/7/2022,595.06,124454456
39,3/4/2022,617.65,98675346
40,3/3/2022,629.98,87444092
41,3/2/2022,631.87,102149863
42,3/1/2022,616.13,138283170
43,2/28/2022,639.85,141791001
44,2/25/2022,649.25,96039585
45,2/24/2022,629.38,126957080
46,2/23/2022,636.81,74138384
47,2/22/2022,648.3,78174664
48,2/18/2022,651.02,88794256
49,2/17/2022,651.79,72149743
50,2/16/2022,667.89,57175322
51,2/15/2022,667.88,57722289
52,2/14/2022,658.84,78714234
53,2/11/2022,666.25,86912130
54,2/10/2022,676.07,74683207
55,2/9/2022,681.84,60696359
56,2/8/2022,677.83,80820949
57,2/7/2022,668.58,72425916
58,2/4/2022,666.38,78280624
59,2/3/2022,655.53,67577926
60,2/2/2022,663.18,73842334
61,2/1/2022,658.84,86513108
62,1/31/2022,649.52,119552226
63,1/28/2022,643.77,82181017
64,1/27/2022,635.68,88907104
65,1/26/2022,641.59,103100922
66,1/25/2022,639.89,112180903
67,1/24/2022,636.91,133637265
68,1/21/2022,635.39,119252221
69,1/20/2022,648.48,83901781
70,1/19/2022,652.56,96118001
71,1/18/2022,663.53,98611814
72,1/14/2022,679.12,98605208
73,1/13/2022,686.03,70458294
74,1/12/2022,688.85,68134431
75,1/11/2022,688.57,68894064
76,1/10/2022,682.86,88478848
77,1/7/2022,684.91,83242891
78,1/6/2022,677.14,84540792
79,1/5/2022,666.83,84998463
