,Date,PX_LAST,PX_VOLUME
1,4/28/2022,2584.89,170671697
2,4/27/2022,2484.58,159100013
3,4/26/2022,2451.28,156200258
4,4/25/2022,2545.76,153739316
5,4/22/2022,2509.65,148327691
6,4/21/2022,2581.78,135967299
7,4/20/2022,2627.16,122098776
8,4/19/2022,2630.64,116404397
9,4/18/2022,2583.12,107674459
10,4/14/2022,2574.88,138166518
11,4/13/2022,2639.45,111918268
12,4/12/2022,2598.1,122540287
13,4/11/2022,2607.31,131737264
14,4/8/2022,2677.04,118549821
15,4/7/2022,2716,127902404
16,4/6/2022,2709.72,157476182
17,4/5/2022,2780.5,130631945
18,4/4/2022,2842.79,124749555
19,4/1/2022,2789.45,138917136
20,3/31/2022,2794.09,196056125
21,3/30/2022,2839.31,136026184
22,3/29/2022,2878.53,137344616
23,3/28/2022,2820.35,117563218
24,3/25/2022,2786.1,115784904
25,3/24/2022,2788.63,141598586
26,3/23/2022,2715.11,135825018
27,3/22/2022,2756.55,142348152
28,3/21/2022,2717.9,154410853
29,3/18/2022,2722.71,406524073
30,3/17/2022,2664.42,140265217
31,3/16/2022,2646.17,184834158
32,3/15/2022,2561.1,166072904
33,3/14/2022,2476.22,156600459
34,3/11/2022,2524.09,137295911
35,3/10/2022,2570.38,139088112
36,3/9/2022,2616.32,156831644
37,3/8/2022,2516.12,196219544
38,3/7/2022,2526.92,181120831
39,3/4/2022,2623.97,146968032
40,3/3/2022,2671.61,141474416
41,3/2/2022,2705.23,154422759
42,3/1/2022,2647.28,171592905
43,2/28/2022,2701.16,197873018
44,2/25/2022,2705.5,152994846
45,2/24/2022,2668.97,246745472
46,2/23/2022,2579.56,156998410
47,2/22/2022,2647.4,165964504
48,2/18/2022,2670.94,180984490
49,2/17/2022,2700.67,148415388
50,2/16/2022,2786.05,129456871
51,2/15/2022,2790.9,149558857
52,2/14/2022,2716.6,167841866
53,2/11/2022,2717.49,200674990
54,2/10/2022,2801.71,166208257
55,2/9/2022,2880.99,146837615
56,2/8/2022,2816.02,128618504
57,2/7/2022,2780.55,121543988
58,2/4/2022,2798.95,142733313
59,2/3/2022,2785.76,174962786
60,2/2/2022,2873.87,186901058
61,2/1/2022,2850.67,151464709
62,1/31/2022,2843.88,213543816
63,1/28/2022,2769.57,198891017
64,1/27/2022,2654.5,198793973
65,1/26/2022,2672.96,204775332
66,1/25/2022,2653.82,187962252
67,1/24/2022,2717.3,262470341
68,1/21/2022,2708.3,220074303
69,1/20/2022,2761.65,137515549
70,1/19/2022,2798.88,145460160
71,1/18/2022,2837.84,161828443
72,1/14/2022,2910.18,128298505
73,1/13/2022,2884.6,138542234
74,1/12/2022,2963.15,110961685
75,1/11/2022,2950.3,127889212
76,1/10/2022,2915,178726722
77,1/7/2022,2912.02,130916163
78,1/6/2022,2941.73,141637420
79,1/5/2022,2955.98,166224138
80,1/4/2022,3051.48,147922135
81,1/3/2022,3086.75,117803698
82,12/31/2021,3055.45,89002663
83,12/30/2021,3070.42,70745493
84,12/29/2021,3091.36,85484428
85,12/28/2021,3089.1,87010660
86,12/27/2021,3107.46,95752141
87,12/23/2021,3041.12,99766458
88,12/22/2021,3024.05,99267607
89,12/21/2021,2984.39,137880485
90,12/20/2021,2908.72,133016569
91,12/17/2021,2944.89,434565625
92,12/16/2021,2963.95,180152094
93,12/15/2021,3051.33,165011242
94,12/14/2021,2969.58,164261987
95,12/13/2021,3019.14,150605077
96,12/10/2021,3068.89,131138572
97,12/9/2021,3006.64,121657772
98,12/8/2021,3039.92,128106710
99,12/7/2021,3026.4,169993492
100,12/6/2021,2923.9,157988591
101,12/3/2021,2895.73,167862240
102,12/2/2021,2944.32,166091030
103,12/1/2021,2919.73,178572401
104,11/30/2021,2956.85,303183301
105,11/29/2021,2985.41,154265690
106,11/26/2021,2908.63,115080223
107,11/24/2021,2986.29,132559125
108,11/23/2021,2965.28,143070144
109,11/22/2021,2971.41,160238913
110,11/19/2021,3005.82,155007357
111,11/18/2021,2982.98,154644340
112,11/17/2021,2952.82,125476220
113,11/16/2021,2964.47,111487943
114,11/15/2021,2932.98,106932351
115,11/12/2021,2936.35,105589077
116,11/11/2021,2901.95,95158174
117,11/10/2021,2886.7,128920172
118,11/9/2021,2935.91,132685768
119,11/8/2021,2948.56,129592025
120,11/5/2021,2931.66,134971424
121,11/4/2021,2919.07,169376650
122,11/3/2021,2874.92,108217087
123,11/2/2021,2857.8,111890246
124,11/1/2021,2834.68,111197523
125,10/29/2021,2836.88,138105939
126,10/28/2021,2824.63,126711393
127,10/27/2021,2795.01,139623958
128,10/26/2021,2800.29,123695941
