,Date,PX_LAST,PX_VOLUME
1,4/28/2022,205.37,92326657
2,4/27/2022,197.69,93212845
3,4/26/2022,203,93866036
4,4/25/2022,209.63,99611407
5,4/22/2022,206.48,91071866
6,4/21/2022,213.52,89552645
7,4/20/2022,218.8,102253799
8,4/19/2022,228.08,71277780
9,4/18/2022,223.46,64406916
10,4/14/2022,223.81,78672130
11,4/13/2022,227.96,70079886
12,4/12/2022,225.02,68809759
13,4/11/2022,226.86,115635257
14,4/8/2022,230.73,68175971
15,4/7/2022,232.46,65981353
16,4/6/2022,234.17,71167350
17,4/5/2022,239.22,66270716
18,4/4/2022,242.58,69614008
19,4/1/2022,237.17,55072036
20,3/31/2022,235.09,71843809
21,3/30/2022,239.92,45485761
22,3/29/2022,241.25,51398200
23,3/28/2022,237.94,50333716
24,3/25/2022,237.3,49893807
25,3/24/2022,236.39,49377623
26,3/23/2022,232.47,55412876
27,3/22/2022,235.4,58868760
28,3/21/2022,230.77,63176909
29,3/18/2022,232.31,229253895
30,3/17/2022,229.02,64437025
31,3/16/2022,226.9,75429490
32,3/15/2022,220.45,68423747
33,3/14/2022,215.61,72346736
34,3/11/2022,219.59,61936201
35,3/10/2022,223.8,57986231
36,3/9/2022,225.49,66869485
37,3/8/2022,217.97,81293766
38,3/7/2022,218.22,79895486
39,3/4/2022,226.71,66701007
40,3/3/2022,229.92,67832250
41,3/2/2022,231.72,68491505
42,3/1/2022,230.09,71971500
43,2/28/2022,232.92,98421043
44,2/25/2022,232.93,72111671
45,2/24/2022,229.53,97995347
46,2/23/2022,222.57,73998256
47,2/22/2022,226.48,72858158
48,2/18/2022,228.72,77375158
49,2/17/2022,230.73,62892942
50,2/16/2022,237.77,80219288
51,2/15/2022,238.24,60217740
52,2/14/2022,235.28,64915872
53,2/11/2022,234.52,71046247
54,2/10/2022,240.63,78832142
55,2/9/2022,244.07,72529061
56,2/8/2022,238.23,66348471
57,2/7/2022,238.47,72406324
58,2/4/2022,243.93,75080543
59,2/3/2022,243.58,112380469
60,2/2/2022,261.44,87494886
61,2/1/2022,253.61,87337901
62,1/31/2022,250.41,121121232
63,1/28/2022,244.55,75438606
64,1/27/2022,237.62,85625036
65,1/26/2022,236.93,97568125
66,1/25/2022,238.81,85553257
67,1/24/2022,244.27,110738932
68,1/21/2022,243.22,102890068
69,1/20/2022,253.05,68593171
70,1/19/2022,255.96,62999988
71,1/18/2022,256.45,100617978
72,1/14/2022,261.66,65591988
73,1/13/2022,260.27,61294113
74,1/12/2022,263.96,53075908
75,1/11/2022,263.02,52899197
76,1/10/2022,260.36,74116442
77,1/7/2022,260.3,81766477
78,1/6/2022,261.12,70913457
79,1/5/2022,260.2,82551033
80,1/4/2022,268.08,71131239
81,1/3/2022,268.97,66729616
82,12/31/2021,267.48,47942914
83,12/30/2021,270.76,35615545
84,12/29/2021,270.45,35568283
85,12/28/2021,271.28,36275863
86,12/27/2021,272.06,46343479
87,12/23/2021,269.61,47685474
88,12/22/2021,267.76,48466558
89,12/21/2021,265.69,60274441
90,12/20/2021,261.28,62316888
91,12/17/2021,262.92,228042561
92,12/16/2021,264.73,87142008
93,12/15/2021,266.27,73277243
94,12/14/2021,262.95,83432290
95,12/13/2021,264.32,68413143
96,12/10/2021,266.26,54232549
97,12/9/2021,265.8,57452592
98,12/8/2021,267.86,67356533
99,12/7/2021,265.87,74196488
100,12/6/2021,262.45,71374248
101,12/3/2021,258.65,80132888
102,12/2/2021,259.86,91041735
103,12/1/2021,255.73,77620928
104,11/30/2021,260.9,152988655
105,11/29/2021,268.96,65907943
106,11/26/2021,265.98,42525547
107,11/24/2021,271.02,47492549
108,11/23/2021,270.45,55641855
109,11/22/2021,271.53,65245443
110,11/19/2021,274.93,66953236
111,11/18/2021,275.72,52831575
112,11/17/2021,276.31,51343075
113,11/16/2021,276.81,52463948
114,11/15/2021,278.22,50455333
115,11/12/2021,277.7,46546003
116,11/11/2021,273.1,48427693
117,11/10/2021,274.39,55309535
118,11/9/2021,277.87,48237183
119,11/8/2021,278.6,52529374
120,11/5/2021,279.05,63088377
121,11/4/2021,276.98,69377492
122,11/3/2021,275.92,63534352
123,11/2/2021,274.18,54181206
124,11/1/2021,273.31,53687831
125,10/29/2021,275.13,65659589
126,10/28/2021,272.86,56552897
127,10/27/2021,271.98,61583171
128,10/26/2021,269.41,56976601
129,10/25/2021,270.71,56512113
130,10/22/2021,269.62,49921142
131,10/21/2021,275.92,50260456
132,10/20/2021,274.93,51427151
133,10/19/2021,275.41,43050293
134,10/18/2021,273.22,53307861
135,10/15/2021,271.29,60208740
136,10/14/2021,271.59,52713676
137,10/13/2021,267,54054585
138,10/12/2021,265.69,61820861
139,10/11/2021,268.5,51980889
140,10/8/2021,272.45,46077037
141,10/7/2021,273.41,54072399
142,10/6/2021,272.55,55570586
143,10/5/2021,271.3,50216444
144,10/4/2021,267.05,62334092
145,10/1/2021,272.81,51868280
146,9/30/2021,268.04,64674492
147,9/29/2021,269.18,49442644
148,9/28/2021,269.75,55530185
149,9/27/2021,277.51,48505555
150,9/24/2021,277.81,42103684
151,9/23/2021,275.91,49876183
152,9/22/2021,273.68,61947626
153,9/21/2021,273.71,53138924
154,9/20/2021,274.63,65113369
155,9/17/2021,279.82,140791872
156,9/16/2021,283.41,50800400
157,9/15/2021,284,63896212
158,9/14/2021,281.96,59232340
159,9/13/2021,284.47,53217631
160,9/10/2021,283.32,43112665
161,9/9/2021,285.88,45767918
162,9/8/2021,286.82,43297371
163,9/7/2021,288.06,45014887
164,9/3/2021,286.77,30673677
165,9/2/2021,286.45,45604621
166,9/1/2021,288.46,40768922
167,8/31/2021,286.95,65746944
168,8/30/2021,286.17,40755932
169,8/27/2021,284.06,38980774
170,8/26/2021,279.58,34708431
171,8/25/2021,281.63,37688624
172,8/24/2021,280.99,33624224
173,8/23/2021,279.83,36096479
174,8/20/2021,276.32,40290647
175,8/19/2021,273.7,42081430
176,8/18/2021,273.35,38778921
177,8/17/2021,275.32,36957784
178,8/16/2021,278.08,41335762
179,8/13/2021,277.4,30843230
180,8/12/2021,276.72,32705308
181,8/11/2021,275.75,36372074
182,8/10/2021,275.68,37498001
183,8/9/2021,275.44,36350177
184,8/6/2021,275.34,41295199
185,8/5/2021,275.39,41927196
186,8/4/2021,272.91,49964357
187,8/3/2021,272.27,53746197
188,8/2/2021,272.78,40323134
189,7/30/2021,273.3,67339498
190,7/29/2021,274.51,46645680
191,7/28/2021,277.04,55416365
192,7/27/2021,274.97,50783558
193,7/26/2021,277.91,55095005
194,7/23/2021,275.96,43553776
195,7/22/2021,268.83,41166649
196,7/21/2021,267.74,47866664
197,7/20/2021,265.79,53358551
198,7/19/2021,262.89,62445278
199,7/16/2021,267.3,42158544
200,7/15/2021,268.83,42838824
201,7/14/2021,270.28,41397594
202,7/13/2021,270.09,40145367
203,7/12/2021,270.38,41753116
204,7/9/2021,267.97,47069485
205,7/8/2021,265.81,49199750
206,7/7/2021,268.62,40475706
207,7/6/2021,268.9,46360637
208,7/2/2021,269.14,34876162
209,7/1/2021,266.68,39583678
210,6/30/2021,264.35,50950531
211,6/29/2021,264.95,41529300
212,6/28/2021,266.34,50906371
213,6/25/2021,264.16,61224479
214,6/24/2021,263.93,46391988
215,6/23/2021,261.82,50381076
216,6/22/2021,262.36,46978492
217,6/21/2021,260.39,53474366
218,6/18/2021,258.06,134798104
219,6/17/2021,261.06,54382070
220,6/16/2021,259.57,49324228
221,6/15/2021,261.58,44550589
222,6/14/2021,262.87,40340699
223,6/11/2021,260.93,39010349
224,6/10/2021,260.92,41560316
225,6/9/2021,259.06,45019938
226,6/8/2021,259.45,54764169
227,6/7/2021,260.04,37334727
228,6/4/2021,258.81,39981458
229,6/3/2021,255.33,52881007
230,6/2/2021,257.21,48850113
231,6/1/2021,257.89,44392062
232,5/28/2021,257.37,51714446
233,5/27/2021,258.18,112290483
234,5/26/2021,257.61,49936347
235,5/25/2021,256.11,53044103
236,5/24/2021,255.81,53099602
237,5/21/2021,251.18,67267877
238,5/20/2021,251.89,67682734
239,5/19/2021,247.74,87997468
240,5/18/2021,247.5,103579373
241,5/17/2021,250.58,106499865
242,5/14/2021,252.8,46466457
243,5/13/2021,248.59,52698089
244,5/12/2021,246.46,57328037
245,5/11/2021,251.56,51920575
246,5/10/2021,252.91,64110641
247,5/7/2021,257.83,52835329
248,5/6/2021,256.27,58431549
249,5/5/2021,253.48,52869558
250,5/4/2021,254.16,64710215
251,5/3/2021,256.55,69323031
252,4/30/2021,257.55,73812728
253,4/29/2021,259.87,64426123
254,4/28/2021,252.91,58451100
255,4/27/2021,249.88,49809285
256,4/26/2021,251.01,58459058
257,4/23/2021,250.35,56173838
258,4/22/2021,247.6,80484585
259,4/21/2021,249.25,72311189
260,4/20/2021,249.95,54292085
261,4/19/2021,251.24,64982751
262,4/16/2021,251.93,67490534
263,4/15/2021,251.65,57112325
264,4/14/2021,248.49,62840195
265,4/13/2021,250.65,56570119
266,4/12/2021,250.43,57103138
267,4/9/2021,251.95,62278449
268,4/8/2021,251.53,63584434
269,4/7/2021,251.73,65406447
270,4/6/2021,249.92,88327611
271,4/5/2021,249.75,71915872
272,4/1/2021,244.2,64558979
273,3/31/2021,239.28,99337582
274,3/30/2021,238.32,89607181
275,3/29/2021,238.61,128167415
276,3/26/2021,236.19,162239581
277,3/25/2021,237,76005666
278,3/24/2021,237.79,73958877
279,3/23/2021,241.8,77258881
280,3/22/2021,242.55,75184096
281,3/19/2021,240.71,211834465
282,3/18/2021,238.8,78312125
283,3/17/2021,243.57,72008761
284,3/16/2021,243.04,68442759
285,3/15/2021,240.79,56107953
286,3/12/2021,239.41,78273708
287,3/11/2021,241.59,73092935
288,3/10/2021,237.4,75695666
289,3/9/2021,236.41,83356019
290,3/8/2021,234.25,77177133
291,3/5/2021,237.73,78905722
