Date,RU10GRTR,RU10GRTR_VOL,S5ENRS,S5ENRS_VOL,S5FINL,S5FINL_VOL,S5INFT,S5INFT_VOL,S5TELS,S5TELS_VOL
4/28/2022,523.22,32319339682,586.92,44509288,593.95,75067094,2584.89,170671697,205.37,92326657
4/27/2022,518.171,35346487340,569.08,47317925,586.34,79563521,2484.58,159100013,197.69,93212845
4/26/2022,520.946,33943000116,560.78,52811990,586.94,80717485,2451.28,156200258,203,93866036
4/25/2022,519.276,35677964298,560.53,64876821,602.29,87169467,2545.76,153739316,209.63,99611407
4/22/2022,533.92,27510833544,579.9,47826507,601.3,88424953,2509.65,148327691,206.48,91071866
4/21/2022,539.519,29256951920,594.35,53590092,619.9,84417511,2581.78,135967299,213.52,89552645
4/20/2022,543.835,28220836739,613.39,42782637,629.57,75827788,2627.16,122098776,218.8,102253799
4/19/2022,543.968,26411212812,610.86,40657333,625.28,86301897,2630.64,116404397,228.08,71277780
4/18/2022,549.258,22513743117,616.8,46352377,617.14,79074618,2583.12,107674459,223.46,64406916
4/14/2022,554.507,25921742231,607.63,41329011,613.38,101375658,2574.88,138166518,223.81,78672130
4/13/2022,555.016,27782201210,605.12,33066573,619.85,69527976,2639.45,111918268,227.96,70079886
4/12/2022,550.526,31987622472,597,39771928,620.35,68207670,2598.1,122540287,225.02,68809759
4/11/2022,551.201,32506954012,586.88,46696882,627.04,66766569,2607.31,131737264,226.86,115635257
4/8/2022,559.172,30794220742,605.71,44322468,630.05,71494816,2677.04,118549821,230.73,68175971
4/7/2022,558.245,33639308543,589.46,44727135,623.78,81247060,2716,127902404,232.46,65981353
4/6/2022,566.349,34131955669,581.57,42316982,624.39,100476711,2709.72,157476182,234.17,71167350
4/5/2022,573.325,6138010254,578.43,46560681,628.52,76883410,2780.5,130631945,239.22,66270716
4/4/2022,575.716,8637977222,587.29,40754460,633.25,73695241,2842.79,124749555,242.58,69614008
4/1/2022,567.86,29212465151,586.89,38861833,636.27,153891736,2789.45,138917136,237.17,55072036
3/31/2022,565.84,29935495330,581.93,59609185,637.61,115411052,2794.09,196056125,235.09,71843809
3/30/2022,569.564,32810755930,590.15,40536602,652.76,75618981,2839.31,136026184,239.92,45485761
3/29/2022,562.999,26108841738,583.32,47105119,657.4,62914756,2878.53,137344616,241.25,51398200
3/28/2022,557.192,26527653877,585.92,44903310,655.86,63701823,2820.35,117563218,237.94,50333716
3/25/2022,557.232,26749087859,601.34,47862071,657.82,60445482,2786.1,115784904,237.3,49893807
3/24/2022,563.09,27703402187,587.95,42508857,649.33,57736974,2788.63,141598586,236.39,49377623
3/23/2022,564.941,29032982125,587.2,47602160,644.46,72089105,2715.11,135825018,232.47,55412876
3/22/2022,560.255,30359512644,577.16,63123609,656.55,76850973,2756.55,142348152,235.4,58868760
3/21/2022,552.23,30914156358,581,67658716,646.21,79674257,2717.9,154410853,230.77,63176909
3/18/2022,556.008,42775730943,559.78,201995200,647.02,319948118,2722.71,406524073,232.31,229253895
3/17/2022,554.98,46867401308,559.27,70428898,645.14,85832186,2664.42,140265217,229.02,64437025
3/16/2022,535.196,48228657004,540.44,73944996,637.31,101188054,2646.17,184834158,226.9,75429490
3/15/2022,508.139,49166617407,542.77,72735752,619.46,84465330,2561.1,166072904,220.45,68423747
3/14/2022,522.083,34422755741,563.77,68315598,611.45,85126675,2476.22,156600459,215.61,72346736
3/11/2022,537.209,34240159421,580.55,59726813,603.92,72775623,2524.09,137295911,219.59,61936201
3/10/2022,545.563,34565119267,585.53,67307546,608.28,77830216,2570.38,139088112,223.8,57986231
3/9/2022,539.567,43136761925,568.11,91324554,613.18,102815972,2616.32,156831644,225.49,66869485
3/8/2022,541.87,43960224022,586.75,101944003,591.79,122526129,2516.12,196219544,217.97,81293766
3/7/2022,547.421,40695812989,578.73,82459746,595.06,124454456,2526.92,181120831,218.22,79895486
3/4/2022,565.966,33543844144,569.81,77928123,617.65,98675346,2623.97,146968032,226.71,66701007
3/3/2022,579.6,32137405512,554,56349753,629.98,87444092,2671.61,141474416,229.92,67832250
3/2/2022,577.508,29989290338,552.49,65402249,631.87,102149863,2705.23,154422759,231.72,68491505
3/1/2022,581.452,30042788663,540.47,78304134,616.13,138283170,2647.28,171592905,230.09,71971500
2/28/2022,578.915,31357476141,534.95,90419962,639.85,141791001,2701.16,197873018,232.92,98421043
2/25/2022,579.213,2.57164E+11,521.54,52222938,649.25,96039585,2705.5,152994846,232.93,72111671
2/24/2022,570.747,4.71458E+11,507.64,68739873,629.38,126957080,2668.97,246745472,229.53,97995347
2/23/2022,596.437,27913940422,512.09,46828471,636.81,74138384,2579.56,156998410,222.57,73998256
2/22/2022,596.307,4.49847E+11,506.95,62313248,648.3,78174664,2647.4,165964504,226.48,72858158
2/18/2022,608.709,1.6338E+11,514.82,47402835,651.02,88794256,2670.94,180984490,228.72,77375158
2/17/2022,614.201,1.43015E+11,518.9,39573381,651.79,72149743,2700.67,148415388,230.73,62892942
2/16/2022,614.825,1.45167E+11,519.34,46678631,667.89,57175322,2786.05,129456871,237.77,80219288
2/15/2022,607.329,1.25178E+11,515.42,45026138,667.88,57722289,2790.9,149558857,238.24,60217740
2/14/2022,603.022,1.75554E+11,522.66,52040468,658.84,78714234,2716.6,167841866,235.28,64915872
2/11/2022,612.842,1.36883E+11,534.65,60816697,666.25,86912130,2717.49,200674990,234.52,71046247
2/10/2022,618.057,1.37413E+11,520.12,42272566,676.07,74683207,2801.71,166208257,240.63,78832142
2/9/2022,612.425,1.53295E+11,523.67,43537544,681.84,60696359,2880.99,146837615,244.07,72529061
2/8/2022,602.541,1.30192E+11,521.01,42072203,677.83,80820949,2816.02,128618504,238.23,66348471
2/7/2022,602.304,82584316844,532.31,47803331,668.58,72425916,2780.55,121543988,238.47,72406324
2/4/2022,603.177,74604969456,525.45,50031453,666.38,78280624,2798.95,142733313,243.93,75080543
2/3/2022,597.819,72772247826,517.29,46016276,655.53,67577926,2785.76,174962786,243.58,112380469
2/2/2022,599.23,72327324040,522.72,47848699,663.18,73842334,2873.87,186901058,261.44,87494886
2/1/2022,599.61,99321016695,520.75,57186013,658.84,86513108,2850.67,151464709,253.61,87337901
1/31/2022,596.752,1.026E+11,502.93,63299019,649.52,119552226,2843.88,213543816,250.41,121121232
1/28/2022,588.308,1.02794E+11,500.72,49997579,643.77,82181017,2769.57,198891017,244.55,75438606
1/27/2022,588.729,1.77548E+11,503.75,57639863,635.68,88907104,2654.5,198793973,237.62,85625036
1/26/2022,598.293,2.01104E+11,497.56,62060981,641.59,103100922,2672.96,204775332,236.93,97568125
1/25/2022,597.798,1.70674E+11,498.42,63307734,639.89,112180903,2653.82,187962252,238.81,85553257
